,x,y,Time
489,571,711,1593689858.910723
490,571,712,1593689858.912048
491,571,712,1593689858.912726
492,571,713,1593689858.914049
493,571,713,1593689858.9147332
494,571,714,1593689858.916028
495,571,714,1593689858.9167109
496,571,714,1593689858.9180439
497,571,714,1593689858.918721
498,571,715,1593689858.920028
499,571,715,1593689858.920715
500,571,716,1593689858.9220579
501,571,716,1593689858.9227421
502,570,716,1593689858.9240289
503,570,716,1593689858.924721
504,570,717,1593689858.9260302
505,570,717,1593689858.926711
506,570,718,1593689858.928034
507,570,718,1593689858.928714
508,570,718,1593689858.930045
509,570,718,1593689858.930727
510,570,719,1593689858.93203
511,570,719,1593689858.932714
512,570,719,1593689858.934048
513,570,719,1593689858.934725
514,570,719,1593689858.936034
515,570,719,1593689858.936713
516,570,720,1593689858.938048
517,570,720,1593689858.9387379
518,570,720,1593689858.940027
519,570,720,1593689858.940701
520,570,721,1593689858.942034
521,570,721,1593689858.9427168
522,570,721,1593689858.944028
523,570,721,1593689858.9447098
524,569,721,1593689858.946032
525,569,721,1593689858.94671
526,569,721,1593689858.948027
527,569,721,1593689858.9487
528,569,721,1593689858.9500318
529,569,721,1593689858.950706
530,569,721,1593689858.952505
531,569,721,1593689858.954508
532,569,721,1593689858.9562938
533,569,721,1593689858.956962
534,569,721,1593689858.957626
535,569,721,1593689858.959407
536,569,721,1593689858.960072
537,569,721,1593689858.960735
538,569,721,1593689858.962519
539,569,721,1593689858.9642959
540,569,721,1593689858.9649558
541,569,721,1593689858.9656231
542,569,721,1593689858.967401
543,569,721,1593689858.968064
544,569,721,1593689858.968728
545,569,721,1593689858.970508
546,569,721,1593689858.971169
547,569,721,1593689858.971843
548,569,721,1593689858.9736168
549,569,721,1593689858.9753978
550,569,721,1593689858.976059
551,569,721,1593689858.9767208
552,569,721,1593689858.978504
553,569,721,1593689858.979313
554,569,721,1593689858.979975
555,569,721,1593689858.981756
556,569,721,1593689858.983534
557,569,721,1593689858.9841962
558,569,721,1593689858.984854
559,569,721,1593689858.986623
560,569,721,1593689858.987277
561,569,721,1593689858.9879308
562,569,721,1593689858.989702
563,569,721,1593689858.99036
564,569,721,1593689858.99101
565,569,721,1593689858.992785
566,569,721,1593689858.9946408
567,569,721,1593689858.995303
568,569,721,1593689858.995956
569,569,721,1593689858.9977422
570,569,721,1593689858.998404
571,569,721,1593689858.9990568
572,569,721,1593689859.000833
573,569,721,1593689859.0026188
574,569,721,1593689859.00328
575,569,721,1593689859.0039308
576,569,721,1593689859.005711
577,569,721,1593689859.006463
578,569,721,1593689859.0071151
579,569,721,1593689859.0088918
580,569,721,1593689859.010667
581,569,721,1593689859.011319
582,569,721,1593689859.01197
583,569,721,1593689859.013742
584,569,721,1593689859.01439
585,569,721,1593689859.015041
586,570,721,1593689859.0161788
587,570,721,1593689859.0179179
588,570,721,1593689859.019779
589,570,721,1593689859.020479
590,570,721,1593689859.021224
591,570,721,1593689859.022003
592,570,721,1593689859.02378
593,570,721,1593689859.024477
594,570,721,1593689859.0252302
595,571,721,1593689859.0259998
596,571,721,1593689859.02778
597,571,721,1593689859.028471
598,571,721,1593689859.0292108
599,571,721,1593689859.02996
600,571,721,1593689859.031772
601,572,721,1593689859.032545
602,572,721,1593689859.033294
603,572,721,1593689859.0339892
604,572,721,1593689859.035778
605,572,720,1593689859.036553
606,572,720,1593689859.037306
607,573,720,1593689859.0380921
608,574,720,1593689859.039903
609,574,720,1593689859.040593
610,574,720,1593689859.0413492
611,574,720,1593689859.042142
612,575,719,1593689859.043974
613,575,719,1593689859.0457711
614,576,719,1593689859.0465732
615,576,719,1593689859.047325
616,576,719,1593689859.048099
617,576,718,1593689859.04989
618,576,718,1593689859.0505788
619,576,718,1593689859.051317
620,577,718,1593689859.0520241
621,577,718,1593689859.053807
622,578,717,1593689859.054498
623,578,717,1593689859.055243
624,579,717,1593689859.056086
625,579,716,1593689859.0579178
626,579,716,1593689859.058602
627,579,716,1593689859.0593438
628,581,715,1593689859.0600471
629,581,715,1593689859.061792
630,582,714,1593689859.062516
631,582,714,1593689859.063266
632,582,714,1593689859.064086
633,582,714,1593689859.0657861
634,583,713,1593689859.0664902
635,583,713,1593689859.067235
636,583,713,1593689859.0681028
637,583,713,1593689859.0697868
638,583,712,1593689859.070494
639,583,712,1593689859.071243
640,584,712,1593689859.07208
641,584,712,1593689859.073782
642,584,711,1593689859.0745668
643,584,711,1593689859.075316
644,585,711,1593689859.076107
645,585,710,1593689859.077916
646,585,710,1593689859.078614
647,585,710,1593689859.07936
648,586,710,1593689859.080149
649,586,710,1593689859.08195
650,586,710,1593689859.082637
651,586,710,1593689859.0833762
652,586,709,1593689859.084162
653,586,709,1593689859.085969
654,586,709,1593689859.0867221
655,586,709,1593689859.087389
656,587,708,1593689859.088096
657,587,708,1593689859.089874
658,587,708,1593689859.090563
659,587,708,1593689859.0913
660,587,708,1593689859.0920691
661,587,708,1593689859.0938282
662,587,708,1593689859.094511
663,587,708,1593689859.095248
664,587,708,1593689859.096071
665,587,708,1593689859.097777
666,587,707,1593689859.098586
667,587,707,1593689859.0993311
668,587,707,1593689859.1000261
669,587,707,1593689859.1017852
670,588,707,1593689859.102556
671,588,707,1593689859.103303
672,588,707,1593689859.105091
673,588,707,1593689859.1072278
674,588,707,1593689859.109004
675,588,707,1593689859.109743
676,588,706,1593689859.110525
677,588,706,1593689859.112054
678,588,706,1593689859.112739
679,588,706,1593689859.113389
680,588,706,1593689859.115158
681,588,706,1593689859.115934
682,588,706,1593689859.1166568
683,588,706,1593689859.117397
684,588,706,1593689859.11918
685,588,706,1593689859.119932
686,588,706,1593689859.120595
687,588,706,1593689859.12236
688,588,706,1593689859.1241338
689,588,706,1593689859.124806
690,588,706,1593689859.12546
691,588,706,1593689859.1272378
692,588,706,1593689859.1278908
693,588,706,1593689859.128545
694,588,706,1593689859.130147
695,588,706,1593689859.130852
696,588,706,1593689859.131516
697,588,706,1593689859.133301
698,588,706,1593689859.134145
699,588,706,1593689859.134808
700,588,706,1593689859.135457
701,588,706,1593689859.137252
702,588,706,1593689859.137912
703,588,706,1593689859.138562
704,588,706,1593689859.140328
705,588,706,1593689859.1409762
706,588,706,1593689859.1416352
707,588,706,1593689859.143411
708,588,705,1593689859.145289
709,588,705,1593689859.146014
710,588,705,1593689859.1466691
711,588,705,1593689859.1481018
712,588,705,1593689859.1487691
713,588,705,1593689859.150063
714,588,705,1593689859.150732
715,587,705,1593689859.152069
716,587,705,1593689859.15274
717,587,705,1593689859.154508
718,587,705,1593689859.156111
719,587,705,1593689859.156791
720,587,705,1593689859.158078
721,587,705,1593689859.1587489
722,587,705,1593689859.1600761
723,587,705,1593689859.160752
724,587,704,1593689859.16207
725,587,704,1593689859.162742
726,587,704,1593689859.1640651
727,587,704,1593689859.164733
